instance_date,area_name_en,project_en,property_type_en,rooms_en,reg_type_en,procedure_area,actual_worth,transaction_number
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,72.95,2224888,102-1289-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3101888,102-1294-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3118888,102-1296-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,112.06,3097888,102-1300-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3164888,102-1303-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.68,2043888,102-1316-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.68,1993888,102-1321-2026
2026-01-06,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,84.9,2452888,102-1352-2026
2026-01-06,DUBAI CREEK HARBOUR,Altan,Apartment,1 B/R,Off-Plan,70.37,1825630,102-1362-2026
2026-01-06,DUBAI CREEK HARBOUR,ARLO,Apartment,1 B/R,Off-Plan,65.52,1800000,102-1374-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,112.06,3253888,102-1436-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3153888,102-1437-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.22,2170888,102-1438-2026
2026-01-07,EMAAR SOUTH,Fairway Villas 3,Villa,4 B/R,Off-Plan,347.34,4676500,102-1445-2026
2026-01-07,EMAAR SOUTH,Golf Hills 2,Apartment,1 B/R,Off-Plan,63.19,1389888,102-1458-2026
2026-01-07,EMAAR SOUTH,Golf Hills 2,Apartment,2 B/R,Off-Plan,121.4,1669810,102-1459-2026
2026-01-07,EMAAR SOUTH,Golf Hills,Apartment,2 B/R,Off-Plan,92.45,1925888,102-1460-2026
2026-01-07,EMAAR SOUTH,Golf Hills 2,Apartment,2 B/R,Off-Plan,92.45,1932888,102-1463-2026
2026-01-07,EMAAR SOUTH,Golf Hills,Apartment,1 B/R,Off-Plan,62.81,1072888,102-1465-2026
2026-01-07,DUBAI CREEK HARBOUR,Creek Waters 2,Apartment,2 B/R,Off-Plan,116.57,2854888,102-1477-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,72.95,2016730,102-1504-2026
2026-01-07,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,107.25,2880888,102-1517-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3135888,102-1524-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,84.9,2471888,102-1564-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,84.9,2461888,102-1570-2026
2026-01-07,DUBAI CREEK HARBOUR,Montiva,Apartment,1 B/R,Off-Plan,84.97,2434888,102-1583-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,71.97,2190888,102-1628-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,72.95,2228888,102-1641-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.22,2002888,102-1649-2026
2026-01-07,DUBAI CREEK HARBOUR,Creek Waters 2,Apartment,1 B/R,Off-Plan,70.12,1848888,102-1664-2026
2026-01-02,DUBAI CREEK HARBOUR,Montiva,Apartment,3 B/R,Off-Plan,170.51,4166888,102-171-2026
2026-01-07,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.68,2150888,102-1732-2026
2026-01-02,DUBAI CREEK HARBOUR,Montiva,Apartment,1 B/R,Off-Plan,84.97,2489888,102-177-2026
2026-01-02,DUBAI CREEK HARBOUR,Silva,Apartment,1 B/R,Off-Plan,69.08,1770750,102-188-2026
2026-01-02,DUBAI CREEK HARBOUR,Silva,Apartment,1 B/R,Off-Plan,70.17,1834888,102-192-2026
2026-01-08,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3164888,102-1927-2026
2026-01-08,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,112.06,3344888,102-1929-2026
2026-01-08,DUBAI CREEK HARBOUR,Silva,Apartment,3 B/R,Off-Plan,170.38,4156888,102-1935-2026
2026-01-08,EMAAR SOUTH,Golf Hills,Apartment,2 B/R,Off-Plan,92.02,1682888,102-1938-2026
2026-01-08,EMAAR SOUTH,Golf Hills 2,Apartment,2 B/R,Off-Plan,92.01,1532888,102-1940-2026
2026-01-08,DUBAI CREEK HARBOUR,The Cove ll,Apartment,3 B/R,Off-Plan,145.78,5150000,102-2000-2026
2026-01-08,DUBAI CREEK HARBOUR,Altus,Apartment,1 B/R,Off-Plan,31.17,809944,102-2065-2026
2026-01-08,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.12,1945888,102-2077-2026
2026-01-08,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.63,3346888,102-2088-2026
2026-01-02,DUBAI CREEK HARBOUR,Creek Waters,Apartment,4 B/R,Off-Plan,226.73,6231888,102-209-2026
2026-01-08,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.12,1956888,102-2097-2026
2026-01-08,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.86,1912888,102-2103-2026
2026-01-08,DUBAI CREEK HARBOUR,Silva,Apartment,1 B/R,Off-Plan,69.08,1810888,102-2111-2026
2026-01-08,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.86,1919888,102-2123-2026
2026-01-08,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,3 B/R,Off-Plan,170.5,4491888,102-2179-2026
2026-01-08,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,84.9,2466888,102-2184-2026
2026-01-08,EMAAR SOUTH,Golf Point,Apartment,1 B/R,Off-Plan,83.65,995000,102-2296-2026
2026-01-09,DUBAI CREEK HARBOUR,Silva,Apartment,3 B/R,Off-Plan,170.38,4112888,102-2362-2026
2026-01-09,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,84.9,2616888,102-2363-2026
2026-01-09,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.68,2154888,102-2364-2026
2026-01-09,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,133.03,4780888,102-2365-2026
2026-01-09,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2098888,102-2367-2026
2026-01-09,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2030888,102-2370-2026
2026-01-09,EMAAR SOUTH,Golf Hills,Apartment,2 B/R,Off-Plan,98.87,1799888,102-2394-2026
2026-01-02,EMAAR SOUTH,Golf Hills,Apartment,1 B/R,Off-Plan,62.81,1377888,102-253-2026
2026-01-09,DUBAI CREEK HARBOUR,VALO,Apartment,3 B/R,Off-Plan,174.28,4000000,102-2805-2026
2026-01-12,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3026888,102-3002-2026
2026-01-12,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3089888,102-3003-2026
2026-01-12,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,71.97,2194888,102-3004-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2029470,102-3007-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,3 B/R,Off-Plan,172.84,4713888,102-3010-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.7,3567888,102-3012-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,133.03,4798888,102-3015-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2012810,102-3018-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,115.05,3689888,102-3022-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2073888,102-3028-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2108888,102-3036-2026
2026-01-12,EMAAR SOUTH,Golf Hills 2,Apartment,1 B/R,Off-Plan,62.46,1072888,102-3037-2026
2026-01-12,EMAAR SOUTH,Golf Hills 2,Apartment,2 B/R,Off-Plan,92.02,1520888,102-3053-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.86,1901888,102-3055-2026
2026-01-12,EMAAR SOUTH,Golf Hills,Apartment,2 B/R,Off-Plan,92.02,1692888,102-3058-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,3 B/R,Off-Plan,172.34,6133888,102-3060-2026
2026-01-12,EMAAR SOUTH,Golf Hills 2,Apartment,2 B/R,Off-Plan,92.02,1893888,102-3062-2026
2026-01-12,EMAAR SOUTH,Golf Hills 2,Apartment,2 B/R,Off-Plan,92.01,1523888,102-3069-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,115.05,3696888,102-3072-2026
2026-01-12,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,71.97,2021888,102-3082-2026
2026-01-12,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,3 B/R,Off-Plan,170.5,4380888,102-3088-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2114888,102-3140-2026
2026-01-12,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.22,2000888,102-3146-2026
2026-01-12,DUBAI CREEK HARBOUR,The Cove ll,Apartment,2 B/R,Off-Plan,57.8,1000000,102-3166-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.69,2033888,102-3176-2026
2026-01-12,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,133.78,3093888,102-3194-2026
2026-01-12,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3147888,102-3207-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,68.45,1846888,102-3243-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2037888,102-3250-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2057888,102-3262-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,68.45,1786430,102-3273-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,100.92,2395010,102-3280-2026
2026-01-12,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,133.78,3139888,102-3290-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2077888,102-3303-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.98,4329888,102-3310-2026
2026-01-12,DUBAI CREEK HARBOUR,Palace Residences Creek Blue,Apartment,1 B/R,Off-Plan,67.57,1992888,102-3318-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,3 B/R,Off-Plan,172.34,5995888,102-3335-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.98,4281888,102-3337-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2062888,102-3339-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2089888,102-3351-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2034888,102-3359-2026
2026-01-12,DUBAI CREEK HARBOUR,Altus,Apartment,1 B/R,Off-Plan,69.29,1787410,102-3362-2026
2026-01-12,DUBAI CREEK HARBOUR,Altus,Apartment,1 B/R,Off-Plan,67.71,1745270,102-3363-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2090888,102-3366-2026
2026-01-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.98,4313888,102-3370-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2086888,102-3438-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,3 B/R,Off-Plan,172.34,6121888,102-3439-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.85,1937888,102-3440-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,71.97,2029888,102-3441-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2094888,102-3442-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2093888,102-3443-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,114.99,3723888,102-3445-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.98,4188410,102-3448-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,84.9,2541888,102-3451-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3032888,102-3460-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3009888,102-3470-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,70.22,2006888,102-3474-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2112888,102-3497-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.98,4369888,102-3559-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,3 B/R,Off-Plan,172.34,6110888,102-3566-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2122888,102-3570-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3302888,102-3580-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.56,3378888,102-3612-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.98,4249888,102-3639-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,3 B/R,Off-Plan,170.5,4522888,102-3649-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3015888,102-3654-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2104888,102-3655-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,3 B/R,Off-Plan,300.95,6766888,102-3667-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2102888,102-3670-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,72.95,2061888,102-3681-2026
2026-01-13,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,133.78,3087888,102-3696-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2008890,102-3706-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.98,4321888,102-3710-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,3 B/R,Off-Plan,172.34,5898510,102-3714-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3043888,102-3717-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2126888,102-3721-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,111.1,3375888,102-3727-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,133.03,4667630,102-3730-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.63,3308888,102-3734-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,114.99,3581652,102-3745-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.13,1890888,102-3758-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,133.03,4843888,102-3761-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2130888,102-3768-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.85,1952888,102-3773-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3358888,102-3783-2026
2026-01-13,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3020888,102-3786-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,133.03,4744888,102-3841-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.69,1977888,102-3844-2026
2026-01-13,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,133.03,4807888,102-3847-2026
2026-01-14,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,84.9,2531888,102-3947-2026
2026-01-14,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,2997888,102-3948-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.13,1927888,102-3949-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,70.34,2045888,102-3950-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.85,1941888,102-3951-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.12,1960888,102-3953-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.56,3384888,102-3956-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,68.45,1850888,102-3962-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.86,1923888,102-3968-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,101.08,2452888,102-3970-2026
2026-01-14,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3049888,102-3972-2026
2026-01-14,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3176888,102-3976-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.12,1949888,102-3981-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2058888,102-3987-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.64,3613888,102-3989-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,68.45,1850888,102-3992-2026
2026-01-14,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3084888,102-3997-2026
2026-01-14,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,115.33,3104888,102-4002-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,68.45,1853888,102-4004-2026
2026-01-14,EMAAR SOUTH,Golf Hills,Apartment,2 B/R,Off-Plan,98.87,1737888,102-4009-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.85,1944888,102-4011-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.98,4345888,102-4012-2026
2026-01-14,EMAAR SOUTH,Golf Hills,Apartment,1 B/R,Off-Plan,62.81,1061230,102-4013-2026
2026-01-14,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,133.03,4825888,102-4018-2026
