instance_date,area_name_en,property_type_en,property_sub_type_en,rooms_en,reg_type_en,procedure_area,actual_worth,meter_sale_price,building_name_en,trans_group_en,nearest_metro_en,nearest_mall_en,sqft,ppsf
2020-01-10,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,116.7,1076392.0,9225.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,1256.0,857.0
2020-01-23,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,121.9,1168992.0,9591.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,1312.0,891.0
2020-01-22,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,111.5,1155600.0,10366.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,1200.0,963.0
2020-01-14,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,54.4,558458.0,10258.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,586.0,953.0
2020-01-13,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,42.5,430951.0,10150.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,457.0,943.0
2020-01-23,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,195.6,1551385.0,7933.0,Greenway Townhouses,Sales,UAE Exchange,Dubai Hills Mall,2105.0,737.0
2020-01-02,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,178.6,1453032.0,8138.0,Urbana II,Sales,UAE Exchange,Dubai Hills Mall,1922.0,756.0
2020-01-12,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Ready,270.1,2258739.0,8364.0,The Pulse Townhouses,Sales,UAE Exchange,Dubai Hills Mall,2907.0,777.0
2020-01-01,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Off-Plan,216.5,1665950.0,7696.0,Urbana I,Sales,UAE Exchange,Dubai Hills Mall,2330.0,715.0
2020-01-09,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,191.0,1509104.0,7901.0,Urbana III,Sales,UAE Exchange,Dubai Hills Mall,2056.0,734.0
2020-01-12,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Off-Plan,195.7,1444716.0,7384.0,Urbana III,Sales,UAE Exchange,Dubai Hills Mall,2107.0,686.0
2020-01-17,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,196.1,1543141.0,7868.0,Golf Dale,Sales,UAE Exchange,Dubai Hills Mall,2111.0,731.0
2020-01-17,EMAAR SOUTH,Villa,Villa,4 B/R,Off-Plan,318.4,2159010.0,6781.0,Golf Point,Sales,UAE Exchange,Dubai Hills Mall,3427.0,630.0
2020-01-02,EMAAR SOUTH,Villa,Villa,4 B/R,Off-Plan,285.9,2215440.0,7750.0,Fairways Villas,Sales,UAE Exchange,Dubai Hills Mall,3077.0,720.0
2020-02-27,EMAAR SOUTH,Apartment,Apartment,1 B/R,Ready,78.6,802008.0,10204.0,Golf Links,Sales,UAE Exchange,Dubai Hills Mall,846.0,948.0
2020-02-06,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,99.0,899704.0,9085.0,Greenway,Sales,UAE Exchange,Dubai Hills Mall,1066.0,844.0
2020-02-03,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,53.6,507760.0,9472.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,577.0,880.0
2020-02-19,EMAAR SOUTH,Apartment,Apartment,1 B/R,Ready,57.2,589512.0,10301.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,616.0,957.0
2020-02-01,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,90.9,837168.0,9214.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,978.0,856.0
2020-02-03,EMAAR SOUTH,Apartment,Apartment,Studio,Ready,45.4,484599.0,10667.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,489.0,991.0
2020-02-16,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,117.8,1243908.0,10559.0,The Pulse Residence,Sales,UAE Exchange,Dubai Hills Mall,1268.0,981.0
2020-02-03,EMAAR SOUTH,Apartment,Apartment,3 B/R,Off-Plan,165.4,1858320.0,11238.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,1780.0,1044.0
2020-02-11,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,121.1,1199680.0,9903.0,Golf Links,Sales,UAE Exchange,Dubai Hills Mall,1304.0,920.0
2020-02-03,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,76.2,758500.0,9957.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,820.0,925.0
2020-02-16,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,83.8,826232.0,9860.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,902.0,916.0
2020-02-16,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,51.6,466200.0,9042.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,555.0,840.0
2020-02-27,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,71.8,660142.0,9192.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,773.0,854.0
2020-02-06,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,94.1,978558.0,10398.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,1013.0,966.0
2020-02-01,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,110.0,1073888.0,9763.0,The Pulse Residence,Sales,UAE Exchange,Dubai Hills Mall,1184.0,907.0
2020-02-12,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Off-Plan,195.1,1726200.0,8848.0,The Pulse Townhouses,Sales,UAE Exchange,Dubai Hills Mall,2100.0,822.0
2020-02-09,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,182.8,1521264.0,8321.0,Greenway Townhouses,Sales,UAE Exchange,Dubai Hills Mall,1968.0,773.0
2020-02-23,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,254.8,2013362.0,7901.0,Urbana I,Sales,UAE Exchange,Dubai Hills Mall,2743.0,734.0
2020-02-22,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Off-Plan,176.7,1502580.0,8504.0,Urbana II,Sales,UAE Exchange,Dubai Hills Mall,1902.0,790.0
2020-02-27,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,228.2,1925504.0,8439.0,Urbana II,Sales,UAE Exchange,Dubai Hills Mall,2456.0,784.0
2020-02-11,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Ready,278.1,2113058.0,7599.0,Golf Dale,Sales,UAE Exchange,Dubai Hills Mall,2993.0,706.0
2020-02-13,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,183.6,1537328.0,8374.0,The Pulse Townhouses,Sales,UAE Exchange,Dubai Hills Mall,1976.0,778.0
2020-02-01,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,195.2,1634578.0,8374.0,Golf Dale,Sales,UAE Exchange,Dubai Hills Mall,2101.0,778.0
2020-02-23,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,289.1,2187736.0,7567.0,Golf Dale,Sales,UAE Exchange,Dubai Hills Mall,3112.0,703.0
2020-02-15,EMAAR SOUTH,Villa,Villa,4 B/R,Off-Plan,300.4,2221071.0,7395.0,Golf Point,Sales,UAE Exchange,Dubai Hills Mall,3234.0,687.0
2020-02-12,EMAAR SOUTH,Villa,Villa,4 B/R,Ready,324.2,2544210.0,7847.0,Expo Golf,Sales,UAE Exchange,Dubai Hills Mall,3490.0,729.0
2020-03-23,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,39.9,397750.0,9957.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,429.0,927.0
2020-03-19,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,124.4,1073878.0,8633.0,Mulberry Park,Sales,UAE Exchange,Dubai Hills Mall,1339.0,802.0
2020-03-23,EMAAR SOUTH,Apartment,Apartment,Studio,Ready,32.9,326742.0,9935.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,354.0,923.0
2020-03-22,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,86.0,838956.0,9752.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,926.0,906.0
2020-03-07,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,95.3,982908.0,10312.0,The Pulse Residence,Sales,UAE Exchange,Dubai Hills Mall,1026.0,958.0
2020-03-25,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,101.2,950697.0,9397.0,The Pulse Residence,Sales,UAE Exchange,Dubai Hills Mall,1089.0,873.0
2020-03-05,EMAAR SOUTH,Apartment,Apartment,Studio,Ready,36.9,334671.0,9074.0,Mulberry Park,Sales,UAE Exchange,Dubai Hills Mall,397.0,843.0
2020-03-26,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,117.3,1119018.0,9537.0,Mulberry Park,Sales,UAE Exchange,Dubai Hills Mall,1263.0,886.0
2020-03-10,EMAAR SOUTH,Apartment,Apartment,3 B/R,Off-Plan,179.5,1541736.0,8590.0,Mulberry Park,Sales,UAE Exchange,Dubai Hills Mall,1932.0,798.0
2020-03-16,EMAAR SOUTH,Apartment,Apartment,3 B/R,Off-Plan,158.0,1733319.0,10969.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,1701.0,1019.0
2020-03-20,EMAAR SOUTH,Apartment,Apartment,3 B/R,Off-Plan,178.4,1795200.0,10064.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,1920.0,935.0
2020-03-12,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,212.5,1925654.0,9063.0,Urbana III,Sales,UAE Exchange,Dubai Hills Mall,2287.0,842.0
2020-03-14,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,271.4,2129409.0,7847.0,Urbana II,Sales,UAE Exchange,Dubai Hills Mall,2921.0,729.0
2020-03-26,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Off-Plan,201.7,1563120.0,7750.0,Greenway Townhouses,Sales,UAE Exchange,Dubai Hills Mall,2171.0,720.0
2020-03-21,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,224.7,1773127.0,7890.0,Urbana II,Sales,UAE Exchange,Dubai Hills Mall,2419.0,733.0
2020-03-21,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Ready,288.2,2478498.0,8600.0,Greenway Townhouses,Sales,UAE Exchange,Dubai Hills Mall,3102.0,799.0
2020-03-16,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,177.1,1513364.0,8547.0,The Pulse Townhouses,Sales,UAE Exchange,Dubai Hills Mall,1906.0,794.0
2020-03-17,EMAAR SOUTH,Villa,Villa,4 B/R,Ready,386.9,3048780.0,7879.0,Greenway Villas,Sales,UAE Exchange,Dubai Hills Mall,4165.0,732.0
2020-03-17,EMAAR SOUTH,Villa,Villa,5 B/R,Off-Plan,558.2,4206300.0,7535.0,Fairways Villas,Sales,UAE Exchange,Dubai Hills Mall,6008.0,700.0
2020-04-12,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,76.1,753480.0,9903.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,819.0,920.0
2020-04-26,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,98.5,980500.0,9957.0,The Pulse Residence,Sales,UAE Exchange,Dubai Hills Mall,1060.0,925.0
2020-04-21,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,40.9,410960.0,10054.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,440.0,934.0
2020-04-09,EMAAR SOUTH,Apartment,Apartment,3 B/R,Ready,173.6,1904511.0,10969.0,Mulberry Park,Sales,UAE Exchange,Dubai Hills Mall,1869.0,1019.0
2020-04-14,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,119.8,1213890.0,10129.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,1290.0,941.0
2020-04-19,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,43.9,422389.0,9612.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,473.0,893.0
2020-04-07,EMAAR SOUTH,Apartment,Apartment,1 B/R,Ready,61.4,616052.0,10032.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,661.0,932.0
2020-04-07,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,98.3,962780.0,9795.0,Mulberry Park,Sales,UAE Exchange,Dubai Hills Mall,1058.0,910.0
2020-04-13,EMAAR SOUTH,Apartment,Apartment,3 B/R,Off-Plan,136.3,1499274.0,11001.0,Urbana,Sales,UAE Exchange,Dubai Hills Mall,1467.0,1022.0
2020-04-25,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,52.7,560763.0,10646.0,Golf Links,Sales,UAE Exchange,Dubai Hills Mall,567.0,989.0
2020-04-26,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,39.9,412698.0,10355.0,The Pulse Residence,Sales,UAE Exchange,Dubai Hills Mall,429.0,962.0
2020-04-25,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,45.4,444990.0,9795.0,Urbana,Sales,UAE Exchange,Dubai Hills Mall,489.0,910.0
2020-04-11,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,179.3,1397320.0,7793.0,The Pulse Townhouses,Sales,UAE Exchange,Dubai Hills Mall,1930.0,724.0
2020-04-24,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,227.2,2042410.0,8988.0,The Pulse Townhouses,Sales,UAE Exchange,Dubai Hills Mall,2446.0,835.0
2020-04-05,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Off-Plan,176.7,1348518.0,7632.0,Urbana I,Sales,UAE Exchange,Dubai Hills Mall,1902.0,709.0
2020-04-09,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Off-Plan,192.5,1736336.0,9020.0,Urbana I,Sales,UAE Exchange,Dubai Hills Mall,2072.0,838.0
2020-04-06,EMAAR SOUTH,Villa,Villa,4 B/R,Off-Plan,297.3,2076800.0,6986.0,Golf Point,Sales,UAE Exchange,Dubai Hills Mall,3200.0,649.0
2020-04-24,EMAAR SOUTH,Villa,Villa,4 B/R,Off-Plan,359.7,2783968.0,7739.0,Fairways Villas,Sales,UAE Exchange,Dubai Hills Mall,3872.0,719.0
2020-05-17,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,103.7,994356.0,9591.0,Golf Links,Sales,UAE Exchange,Dubai Hills Mall,1116.0,891.0
2020-05-16,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,62.6,677370.0,10818.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,674.0,1005.0
2020-05-10,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,117.6,1278660.0,10872.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,1266.0,1010.0
2020-05-19,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,63.6,645955.0,10150.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,685.0,943.0
2020-05-26,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,69.9,631680.0,9042.0,Mulberry Park,Sales,UAE Exchange,Dubai Hills Mall,752.0,840.0
2020-05-12,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,72.6,778872.0,10721.0,Golf Links,Sales,UAE Exchange,Dubai Hills Mall,781.0,997.0
2020-05-15,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,107.0,1050624.0,9817.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,1152.0,912.0
2020-05-19,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,109.5,1154241.0,10538.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,1179.0,979.0
2020-05-27,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,32.7,346368.0,10592.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,352.0,984.0
2020-05-23,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,248.9,2247681.0,9031.0,Urbana II,Sales,UAE Exchange,Dubai Hills Mall,2679.0,839.0
2020-05-02,EMAAR SOUTH,Villa,Villa,5 B/R,Off-Plan,594.5,4120956.0,6932.0,Golf Point,Sales,UAE Exchange,Dubai Hills Mall,6399.0,644.0
2020-06-25,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,60.3,557491.0,9246.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,649.0,859.0
2020-06-08,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,34.7,361437.0,10430.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,374.0,966.0
2020-06-18,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,60.8,606912.0,9989.0,Mulberry Park,Sales,UAE Exchange,Dubai Hills Mall,654.0,928.0
2020-06-10,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,74.0,785045.0,10603.0,Greenway,Sales,UAE Exchange,Dubai Hills Mall,797.0,985.0
2020-06-14,EMAAR SOUTH,Apartment,Apartment,Studio,Off-Plan,34.2,313536.0,9171.0,Mulberry Park,Sales,UAE Exchange,Dubai Hills Mall,368.0,852.0
2020-06-25,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,85.3,845478.0,9914.0,Greenway,Sales,UAE Exchange,Dubai Hills Mall,918.0,921.0
2020-06-20,EMAAR SOUTH,Apartment,Apartment,Studio,Ready,44.7,470899.0,10538.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,481.0,979.0
2020-06-24,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,68.3,659295.0,9655.0,Urbana,Sales,UAE Exchange,Dubai Hills Mall,735.0,897.0
2020-06-14,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,85.2,897743.0,10538.0,Urbana,Sales,UAE Exchange,Dubai Hills Mall,917.0,979.0
2020-06-10,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Off-Plan,197.0,1562440.0,7933.0,Urbana I,Sales,UAE Exchange,Dubai Hills Mall,2121.0,737.0
2020-06-25,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,229.6,1811243.0,7890.0,Urbana I,Sales,UAE Exchange,Dubai Hills Mall,2471.0,733.0
2020-06-04,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Off-Plan,193.6,1744308.0,9009.0,Golf Dale,Sales,UAE Exchange,Dubai Hills Mall,2084.0,837.0
2020-06-06,EMAAR SOUTH,Villa,Villa,5 B/R,Off-Plan,556.6,4049916.0,7276.0,Expo Golf,Sales,UAE Exchange,Dubai Hills Mall,5991.0,676.0
2020-07-06,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,107.5,993863.0,9246.0,Greenway,Sales,UAE Exchange,Dubai Hills Mall,1157.0,859.0
2020-07-24,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,55.6,580060.0,10441.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,598.0,970.0
2020-07-22,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,85.7,907309.0,10581.0,Golf Links,Sales,UAE Exchange,Dubai Hills Mall,922.0,984.0
2020-07-02,EMAAR SOUTH,Apartment,Apartment,1 B/R,Ready,71.3,725582.0,10183.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,767.0,946.0
2020-07-12,EMAAR SOUTH,Apartment,Apartment,1 B/R,Ready,74.5,711374.0,9548.0,Golf Links,Sales,UAE Exchange,Dubai Hills Mall,802.0,887.0
2020-07-11,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,95.7,1003220.0,10484.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,1030.0,974.0
2020-07-10,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,67.6,652288.0,9645.0,Urbana,Sales,UAE Exchange,Dubai Hills Mall,728.0,896.0
2020-07-05,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,73.7,648674.0,8805.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,793.0,818.0
2020-07-17,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,108.5,933232.0,8600.0,The Pulse Residence,Sales,UAE Exchange,Dubai Hills Mall,1168.0,799.0
2020-07-24,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,123.9,1191262.0,9612.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,1334.0,893.0
2020-07-08,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,61.7,629472.0,10204.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,664.0,948.0
2020-07-14,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,282.4,2307360.0,8170.0,Urbana II,Sales,UAE Exchange,Dubai Hills Mall,3040.0,759.0
2020-07-18,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,246.5,2125053.0,8622.0,Golf Dale,Sales,UAE Exchange,Dubai Hills Mall,2653.0,801.0
2020-07-17,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,269.3,1945229.0,7223.0,Urbana I,Sales,UAE Exchange,Dubai Hills Mall,2899.0,671.0
2020-07-08,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Off-Plan,196.9,1801150.0,9149.0,Urbana III,Sales,UAE Exchange,Dubai Hills Mall,2119.0,850.0
2020-07-20,EMAAR SOUTH,Townhouse,Townhouse,3 B/R,Ready,191.3,1721324.0,8999.0,Greenway Townhouses,Sales,UAE Exchange,Dubai Hills Mall,2059.0,836.0
2020-07-01,EMAAR SOUTH,Villa,Villa,4 B/R,Ready,382.0,3129232.0,8191.0,Golf Point,Sales,UAE Exchange,Dubai Hills Mall,4112.0,761.0
2020-08-13,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,71.0,792268.0,11162.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,764.0,1037.0
2020-08-08,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,67.9,688602.0,10140.0,The Pulse Residence,Sales,UAE Exchange,Dubai Hills Mall,731.0,942.0
2020-08-27,EMAAR SOUTH,Apartment,Apartment,1 B/R,Ready,62.5,686460.0,10979.0,The Pulse Residence,Sales,UAE Exchange,Dubai Hills Mall,673.0,1020.0
2020-08-06,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,123.7,1409256.0,11388.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,1332.0,1058.0
2020-08-18,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,59.1,628368.0,10635.0,Parkside,Sales,UAE Exchange,Dubai Hills Mall,636.0,988.0
2020-08-12,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,71.3,734208.0,10290.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,767.0,957.0
2020-08-19,EMAAR SOUTH,Apartment,Apartment,3 B/R,Off-Plan,174.1,1705340.0,9795.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,1874.0,910.0
2020-08-05,EMAAR SOUTH,Apartment,Apartment,2 B/R,Off-Plan,121.7,1333580.0,10958.0,The Pulse Residence,Sales,UAE Exchange,Dubai Hills Mall,1310.0,1018.0
2020-08-19,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,56.3,556308.0,9881.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,606.0,918.0
2020-08-10,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,99.5,1068858.0,10742.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,1071.0,998.0
2020-08-06,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,108.9,1092304.0,10032.0,Urbana,Sales,UAE Exchange,Dubai Hills Mall,1172.0,932.0
2020-08-11,EMAAR SOUTH,Apartment,Apartment,1 B/R,Ready,64.5,618354.0,9591.0,Expo Golf Villas,Sales,UAE Exchange,Dubai Hills Mall,694.0,891.0
2020-08-26,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,67.2,725169.0,10796.0,Urbana,Sales,UAE Exchange,Dubai Hills Mall,723.0,1003.0
2020-08-17,EMAAR SOUTH,Apartment,Apartment,2 B/R,Ready,91.0,886900.0,9741.0,Fairway Residences,Sales,UAE Exchange,Dubai Hills Mall,980.0,905.0
2020-08-13,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,53.5,543744.0,10161.0,Almeria,Sales,UAE Exchange,Dubai Hills Mall,576.0,944.0
2020-08-17,EMAAR SOUTH,Apartment,Apartment,1 B/R,Off-Plan,73.4,752870.0,10258.0,Mimosa,Sales,UAE Exchange,Dubai Hills Mall,790.0,953.0
2020-08-17,EMAAR SOUTH,Townhouse,Townhouse,4 B/R,Off-Plan,262.2,2308396.0,8805.0,Urbana II,Sales,UAE Exchange,Dubai Hills Mall,2822.0,818.0
